mb_release_title,local_folder_path,local_title,local_track_count,match_status,fix_note
"Best Cuts, Volume I",Shayne Malone/Album/2019 - Shayne Malone,Shayne Malone,11,MISSING_TRACKS,
"Best Cuts, Volume I",Shayne Malone/Album/2020 - The Crossroad,The Crossroad,12,MISSING_TRACKS,
"Best Cuts, Volume I",Shayne Malone/Album/2022 - Volume I,"Best Cuts, Volume I",13,COMPLETE,
Best of 2006-2016,The Veer Union/Compilation/2017 - Best of 2006-2016,Best of 2006-2016,20,COMPLETE,
Best of 2006-2016,The Veer Union/Remastered/2019 - Against the Grain (10 Year Anniversary Edition),Against The Grain - 10 Year Anniversary Edition,16,MISSING_TRACKS,
Best of Urszula & Budka Suflera,Urszula/Album/1988 - Czwarty Raz,Czwarty Raz,10,MISSING_TRACKS,
Best of Urszula & Budka Suflera,Urszula/Album/1988 - The Best Of Urszula & Budka Suflera,Best of Urszula & Budka Suflera,15,MISSING_TRACKS,
Best of Urszula & Budka Suflera,Urszula/Album/1992 - Urszula & Jumbo,Urszula & Jumbo,13,MISSING_TRACKS,
Bird Streets,Bird Streets/Album/2018 - Bird Streets,Bird Streets,11,COMPLETE,
Bird Streets,Bird Streets/EP/2018 - First Flight (EP),First Flight,6,MISSING_TRACKS,
Black Ribbons,Shooter Jennings/Album/2010 - Black Ribbons (& Hierophant),Black Ribbons,20,MISSING_TRACKS,
Black Ribbons,Shooter Jennings/Album/2010 - Missed The Boat. A Collection - of Demos and Rarities (160-320),Missed The Boat: A Collection of Demos and Rarities,15,MISSING_TRACKS,
Blame It on the Bossa Nova,Eydie Gorme/Album/1963 - Blame It on the Bossa Nova,Blame It on the Bossa Nova,14,COMPLETE,
Blame It on the Bossa Nova,Eydie Gorme & Steve Lawrence/Album/1967 - Bonfa & Brazil,Bonfá & Brazil,12,MISSING_TRACKS,
Blood of Angels,Spillage/Album/2019 - Blood Of Angels,Blood of Angels,8,MISSING_TRACKS,
Blood of Angels,Spillage/Live/2023 - Live,Live!,9,MISSING_TRACKS,
Blue Collar Revolver,Lansdowne/Album/2011 - Blue Collar Revolver,Blue Collar Revolver,10,COMPLETE,
Blue Collar Revolver,Lansdowne/EP/2010 - A Day In The Life (EP),Blue Collar Revolver,5,MISSING_TRACKS,
Blue Collar Revolver,Lansdowne/EP/2012 - Blue Collar Raw (EP),No Home But The Road,3,MISSING_TRACKS,
Blues and the Soulful Truth,Leon Thomas/Album/1978 - Blues And The Soulful Truth,Blues and the Soulful Truth,8,COMPLETE,
Blues and the Soulful Truth,Leon Thomas/Album/1987 - Precious Energy (with Gary Bartz),Precious Energy,7,MISSING_TRACKS,
Blush,Secret Attraction/Album/2019 - Blush,Blush,13,EXTRA_TRACKS,
Blush,Secret Attraction/EP/2018 - PROMISES (EP),PROMISES (EP),6,MISSING_TRACKS,
Boleros,Tete Montoliu/Album/1973 - Interpreta Boleros Clasicos,Piano interpreta boleros clasicos,5,MISSING_TRACKS,
Boleros,Tete Montoliu/Album/1975 - Boleros,Boleros,10,COMPLETE,
Bolts of Melody,Adam Franklin/Album/2007 - Bolts Of Melody,Bolts of Melody,14,EXTRA_TRACKS,
Bolts of Melody,Adam Franklin/Album/2011 - A Soundworld Of Rain,Bolts Of Melody,11,MISSING_TRACKS,
